 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Fordelene ved mentorordningen er, at den omfatter unge uden kompetencegivende uddannelse.
1-1	Fordelene	B-noun.attribute	
#text=Det har bl.a. været medvirkende til at sikre et godt udskrivningsforløb for den patient, der skal udskrives og overleveres til en kommunal hjælp, og sikre, at der er en god kommunikation imellem de to instanser, så man på den måde får et rigtig godt forløb hele vejen igennem.
73-1	Det	O	
73-2	har	O	
73-3	bl	O	
73-4	.	O	
73-5	a	O	
73-6	.	O	
73-7	været	O	
73-8	medvirkende	O	
73-9	til	O	
73-10	at	O	
73-11	sikre	O	
73-12	et	O	
73-13	godt	O	
73-14	udskrivningsforløb	O	
73-15	for	O	
73-16	den	O	
73-17	patient	O	
73-18	,	O	
73-19	der	O	
73-20	skal	O	
73-21	udskrives	O	
73-22	og	O	
73-23	overleveres	O	
73-24	til	O	
73-25	en	O	
73-26	kommunal	O	
73-27	hjælp	O	
73-28	,	O	
73-29	og	O	
73-30	sikre	O	
73-31	,	O	
73-32	at	O	
73-33	der	O	
73-34	er	O	
73-35	en	O	
73-36	god	O	
73-37	kommunikation	O	
73-38	imellem	O	
73-39	de	O	
73-40	to	O	
73-41	instanser	O	
73-42	,	O	
73-43	så	O	
73-44	man	O	
73-45	på	O	
73-46	den	O	
73-47	måde	O	
73-48	får	O	
73-49	et	O	
73-50	rigtig	O	
73-51	godt	O	
73-52	forløb	O	
73-53	hele	O	
73-54	vejen	O	
73-55	igennem	O	
73-56	.	O	

#id=74
#text=Og hvad værre er, er der,  så vidt vi kan se, en række negative miljømæssige konsekvenser af forslaget og en mere kompliceret lovgivning end den,  vi har i forvejen.
74-1	Og	O	
74-2	hvad	O	
74-3	værre	O	
74-4	er	O	
74-5	,	O	
74-6	er	O	
74-7	der	O	
74-8	,	O	
74-9	så	O	
74-10	vidt	O	
74-11	vi	O	
74-12	kan	O	
74-13	se	O	
74-14	,	O	
74-15	en	O	
74-16	række	O	
74-17	negative	O	
74-18	miljømæssige	O	
74-19	konsekvenser	O	
74-20	af	O	
74-21	forslaget	O	
74-22	og	O	
74-23	en	O	
74-24	mere	O	
74-25	kompliceret	O	
74-26	lovgivning	O	
74-27	end	O	
74-28	den	O	
74-29	,	O	
74-30	vi	O	
74-31	har	O	
74-32	i	O	
74-33	forvejen	O	
74-34	.	O	

#id=75
#text=Derfor er jeg også glad for, at regeringen kiggede på sagen, fik lavet en undersøgelse og fandt ud af, at der altså ikke var nogen grund til at lave det her om.
75-1	Derfor	O	
75-2	er	O	
75-3	jeg	O	
75-4	også	O	
75-5	glad	O	
75-6	for	O	
75-7	,	O	
75-8	at	O	
75-9	regeringen	O	
75-10	kiggede	O	
75-11	på	O	
75-12	sagen	O	
75-13	,	O	
75-14	fik	O	
75-15	lavet	O	
75-16	en	O	
75-17	undersøgelse	O	
75-18	og	O	
75-19	fandt	O	
75-20	ud	O	
75-21	af	O	
75-22	,	O	
75-23	at	O	
75-24	der	O	
75-25	altså	O	
75-26	ikke	O	
75-27	var	O	
75-28	nogen	O	
75-29	grund	O	
75-30	til	O	
75-31	at	O	
75-32	lave	O	
75-33	det	O	
75-34	her	O	
75-35	om	O	
75-36	.	O	

#id=76
#text=Deter jo sådan et lidt blandet forslag, vi står med i dag, og læser man de sidste linjer i bemærkningerne til beslutningsforslaget, står der, at det her kun er en afgrænset del for at sikre en bedre integration, og at forslaget senere vil blive fulgt op af andre nødvendige initiativer.
76-1	Det	O	
76-2	er	O	
76-3	jo	O	
76-4	sådan	O	
76-5	et	O	
76-6	lidt	O	
76-7	blandet	O	
76-8	forslag	O	
76-9	,	O	
76-10	vi	O	
76-11	står	O	
76-12	med	O	
76-13	i	O	
76-14	dag	O	
76-15	,	O	
76-16	og	O	
76-17	læser	O	
76-18	man	O	
76-19	de	O	
76-20	sidste	O	
76-21	linjer	O	
76-22	i	O	
76-23	bemærkningerne	O	
76-24	til	O	
76-25	beslutningsforslaget	O	
76-26	,	O	
76-27	står	O	
76-28	der	O	
76-29	,	O	
76-30	at	O	
76-31	det	O	
76-32	her	O	
76-33	kun	O	
76-34	er	O	
76-35	en	O	
76-36	afgrænset	O	
76-37	del	O	
76-38	for	O	
76-39	at	O	
76-40	sikre	O	
76-41	en	O	
76-42	bedre	O	
76-43	integration	O	
76-44	,	O	
76-45	og	O	
76-46	at	O	
76-47	forslaget	O	
76-48	senere	O	
76-49	vil	O	
76-50	blive	O	
76-51	fulgt	O	
76-52	op	O	
76-53	af	O	
76-54	andre	O	
76-55	nødvendige	O	
76-56	initiativer	O	
76-57	.	O	

#id=77
#text=Det er også nærdemokrati, og det er hensyn til mindretal.
77-1	Det	O	
77-2	er	O	
77-3	også	O	
77-4	nærdemokrati	O	
77-5	,	O	
77-6	og	O	
77-7	det	O	
77-8	er	O	
77-9	hensyn	O	
77-10	til	O	
77-11	mindretal	O	
77-12	.	O	

#id=78
#text=Det er overhovedet ikke dokumenteret nogen steder, og der bliver også fra oppositionens side sat store  spørgsmålstegn ved lovligheden i forsøgene.
78-1	Det	O	
78-2	er	O	
78-3	overhovedet	O	
78-4	ikke	O	
78-5	dokumenteret	O	
78-6	nogen	O	
78-7	steder	O	
78-8	,	O	
78-9	og	O	
78-10	der	O	
78-11	bliver	O	
78-12	også	O	
78-13	fra	O	
78-14	oppositionens	O	
78-15	side	O	
78-16	sat	O	
78-17	store	O	
78-18	spørgsmålstegn	O	
78-19	ved	O	
78-20	lovligheden	O	
78-21	i	O	
78-22	forsøgene	O	
78-23	.	O	

#id=79
#text=Derfor er jeg sådan set glad for, at udvalget er kommet tilbage med deres rapport, hvor de kommer med 42 gode konkrete forslag, som man kan arbejde videre med.
79-1	Derfor	O	
79-2	er	O	
79-3	jeg	O	
79-4	sådan	O	
79-5	set	O	
79-6	glad	O	
79-7	for	O	
79-8	,	O	
79-9	at	O	
79-10	udvalget	O	
79-11	er	O	
79-12	kommet	O	
79-13	tilbage	O	
79-14	med	O	
79-15	deres	O	
79-16	rapport	O	
79-17	,	O	
79-18	hvor	O	
79-19	de	O	
79-20	kommer	O	
79-21	med	O	
79-22	42	O	
79-23	gode	O	
79-24	konkrete	O	
79-25	forslag	O	
79-26	,	O	
79-27	som	O	
79-28	man	O	
79-29	kan	O	
79-30	arbejde	O	
79-31	videre	O	
79-32	med	O	
79-33	.	O	

#id=80
#text=På Grønland har man sat et arbejde i gang for at opstille nogle mål.
80-1	På	O	
80-2	Grønland	O	
80-3	har	O	
80-4	man	O	
80-5	sat	O	
80-6	et	O	
80-7	arbejde	O	
80-8	i	O	
80-9	gang	O	
80-10	for	O	
80-11	at	O	
80-12	opstille	O	
80-13	nogle	O	
80-14	mål	O	
80-15	.	O	

#id=81
#text=Men ellers er hovedreglen den, at folk betaler skat, i forhold til hvad de tjener.
81-1	Men	O	
81-2	ellers	O	
81-3	er	O	
81-4	hovedreglen	O	
81-5	den	O	
81-6	,	O	
81-7	at	O	
81-8	folk	O	
81-9	betaler	O	
81-10	skat	O	
81-11	,	O	
81-12	i	O	
81-13	forhold	O	
81-14	til	O	
81-15	hvad	O	
81-16	de	O	
81-17	tjener	O	
81-18	.	O	

#id=82
#text=Det betyder ikke nødvendigvis, at man hver eneste dag skal stå og diskutere, hvad man skal have at spise i dag.
82-1	Det	O	
82-2	betyder	O	
82-3	ikke	O	
82-4	nødvendigvis	O	
82-5	,	O	
82-6	at	O	
82-7	man	O	
82-8	hver	O	
82-9	eneste	O	
82-10	dag	O	
82-11	skal	O	
82-12	stå	O	
82-13	og	O	
82-14	diskutere	O	
82-15	,	O	
82-16	hvad	O	
82-17	man	O	
82-18	skal	O	
82-19	have	O	
82-20	at	O	
82-21	spise	O	
82-22	i	O	
82-23	dag	O	
82-24	.	O	

#id=83
#text=Jeg kalder det klarhed, klarhed over, at den daglige ledelse og konkrete beslutninger henhører under skoleledelsen i alle situationer, hvor det ikke vedrører andre skoler, klarhed over ansvarsfordelingen - hvem har ansvar for hvad? - og respekt for skolebestyrelsens adgang til at fastsætte principper.
83-1	Jeg	O	
83-2	kalder	O	
83-3	det	O	
83-4	klarhed	O	
83-5	,	O	
83-6	klarhed	O	
83-7	over	O	
83-8	,	O	
83-9	at	O	
83-10	den	O	
83-11	daglige	O	
83-12	ledelse	O	
83-13	og	O	
83-14	konkrete	O	
83-15	beslutninger	O	
83-16	henhører	O	
83-17	under	O	
83-18	skoleledelsen	O	
83-19	i	O	
83-20	alle	O	
83-21	situationer	O	
83-22	,	O	
83-23	hvor	O	
83-24	det	O	
83-25	ikke	O	
83-26	vedrører	O	
83-27	andre	O	
83-28	skoler	O	
83-29	,	O	
83-30	klarhed	O	
83-31	over	O	
83-32	ansvarsfordelingen	O	
83-33	-	O	
83-34	hvem	O	
83-35	har	O	
83-36	ansvar	O	
83-37	for	O	
83-38	hvad	O	
83-39	?	O	
83-40	-	O	
83-41	og	O	
83-42	respekt	O	
83-43	for	O	
83-44	skolebestyrelsens	O	
83-45	adgang	O	
83-46	til	O	
83-47	at	O	
83-48	fastsætte	O	
83-49	principper	O	
83-50	.	O	

#id=84
#text=Somjeg sagde i min ordførertale tidligere, er det jo altså sådan, at vi også gerne vil have lov til at afvente det udspil, der kommer efter de pågående forhandlinger, der er mellem regeringen og Kommunernes Landsforening.
84-1	Som	O	
84-2	jeg	O	
84-3	sagde	O	
84-4	i	O	
84-5	min	O	
84-6	ordførertale	O	
84-7	tidligere	O	
84-8	,	O	
84-9	er	O	
84-10	det	O	
84-11	jo	O	
84-12	altså	O	
84-13	sådan	O	
84-14	,	O	
84-15	at	O	
84-16	vi	O	
84-17	også	O	
84-18	gerne	O	
84-19	vil	O	
84-20	have	O	
84-21	lov	O	
84-22	til	O	
84-23	at	O	
84-24	afvente	O	
84-25	det	O	
84-26	udspil	O	
84-27	,	O	
84-28	der	O	
84-29	kommer	O	
84-30	efter	O	
84-31	de	O	
84-32	pågående	O	
84-33	forhandlinger	O	
84-34	,	O	
84-35	der	O	
84-36	er	O	
84-37	mellem	O	
84-38	regeringen	O	
84-39	og	O	
84-40	Kommunernes	O	
84-41	Landsforening	O	
84-42	.	O	

#id=85
#text=Vi finder, at den grundlæggende tanke om konsensus bag aftalerne om satspuljen er rigtig, rigtig vigtig, og hidtil har alle partier ment det her, undtagen Enhedslisten, det erkender jeg.
85-1	Vi	O	
85-2	finder	O	
85-3	,	O	
85-4	at	O	
85-5	den	O	
85-6	grundlæggende	O	
85-7	tanke	O	
85-8	om	O	
85-9	konsensus	O	
85-10	bag	O	
85-11	aftalerne	O	
85-12	om	O	
85-13	satspuljen	O	
85-14	er	O	
85-15	rigtig	O	
85-16	,	O	
85-17	rigtig	O	
85-18	vigtig	O	
85-19	,	O	
85-20	og	O	
85-21	hidtil	O	
85-22	har	O	
85-23	alle	O	
85-24	partier	O	
85-25	ment	O	
85-26	det	O	
85-27	her	O	
85-28	,	O	
85-29	undtagen	O	
85-30	Enhedslisten	O	
85-31	,	O	
85-32	det	O	
85-33	erkender	O	
85-34	jeg	O	
85-35	.	O	

#id=86
#text=Det skal være en folkeskole, hvor der er plads til alle.
86-1	Det	O	
86-2	skal	O	
86-3	være	O	
86-4	en	O	
86-5	folkeskole	O	
86-6	,	O	
86-7	hvor	O	
86-8	der	O	
86-9	er	O	
86-10	plads	O	
86-11	til	O	
86-12	alle	O	
86-13	.	O	

#id=87
#text=Vi er ikke nået nær langt nok på det punkt i Danmark.
87-1	Vi	O	
87-2	er	O	
87-3	ikke	O	
87-4	nået	O	
87-5	nær	O	
87-6	langt	O	
87-7	nok	O	
87-8	på	O	
87-9	det	O	
87-10	punkt	O	
87-11	i	O	
87-12	Danmark	O	
87-13	.	O	

#id=88
#text=Det, jeg undrer mig  såre over i dag, er SF og Socialdemokraternes afvisning af, at forbrugeren godt må få indsigt i, hvad det er for en liste over anmeldte kosttilskud, Fødevarestyrelsen ligger inde med.
88-1	Det	O	
88-2	,	O	
88-3	jeg	O	
88-4	undrer	O	
88-5	mig	O	
88-6	såre	O	
88-7	over	O	
88-8	i	O	
88-9	dag	O	
88-10	,	O	
88-11	er	O	
88-12	SF	O	
88-13	og	O	
88-14	Socialdemokraternes	O	
88-15	afvisning	O	
88-16	af	O	
88-17	,	O	
88-18	at	O	
88-19	forbrugeren	O	
88-20	godt	O	
88-21	må	O	
88-22	få	O	
88-23	indsigt	O	
88-24	i	O	
88-25	,	O	
88-26	hvad	O	
88-27	det	O	
88-28	er	O	
88-29	for	O	
88-30	en	O	
88-31	liste	O	
88-32	over	O	
88-33	anmeldte	O	
88-34	kosttilskud	O	
88-35	,	O	
88-36	Fødevarestyrelsen	O	
88-37	ligger	O	
88-38	inde	O	
88-39	med	O	
88-40	.	O	

#id=89
#text=Jeg tror, at hvis man lytter ordentligt efter, vil det vise sig, at det provenu, som man forventer at få ud af den her ordning,  kan man godt skyde en hvid pind efter.
89-1	Jeg	O	
89-2	tror	O	
89-3	,	O	
89-4	at	O	
89-5	hvis	O	
89-6	man	O	
89-7	lytter	O	
89-8	ordentligt	O	
89-9	efter	O	
89-10	,	O	
89-11	vil	O	
89-12	det	O	
89-13	vise	O	
89-14	sig	O	
89-15	,	O	
89-16	at	O	
89-17	det	O	
89-18	provenu	O	
89-19	,	O	
89-20	som	O	
89-21	man	O	
89-22	forventer	O	
89-23	at	O	
89-24	få	O	
89-25	ud	O	
89-26	af	O	
89-27	den	O	
89-28	her	O	
89-29	ordning	O	
89-30	,	O	
89-31	kan	O	
89-32	man	O	
89-33	godt	O	
89-34	skyde	O	
89-35	en	O	
89-36	hvid	O	
89-37	pind	O	
89-38	efter	O	
89-39	.	O	

#id=90
#text=Det,vi skal gøre, er for det første at sørge for, at der er adgang til kredit, som der ville være under normale omstændigheder, sørge for at føre en ansvarlig økonomisk politik, der er med til at sikre, at renten fortsat er lav, og så selvfølgelig hele tiden sørge for at justere og se på, om der er mere, vi kan gøre for f.eks. at undgå, at konjunkturomslaget bliver så voldsomt, at der bliver stigende arbejdsløshed i Danmark.
90-1	Det	O	
90-2	,	O	
90-3	vi	O	
90-4	skal	O	
90-5	gøre	O	
90-6	,	O	
90-7	er	O	
90-8	for	O	
90-9	det	O	
90-10	første	O	
90-11	at	O	
90-12	sørge	O	
90-13	for	O	
90-14	,	O	
90-15	at	O	
90-16	der	O	
90-17	er	O	
90-18	adgang	O	
90-19	til	O	
90-20	kredit	O	
90-21	,	O	
90-22	som	O	
90-23	der	O	
90-24	ville	O	
90-25	være	O	
90-26	under	O	
90-27	normale	O	
90-28	omstændigheder	O	
90-29	,	O	
90-30	sørge	O	
90-31	for	O	
90-32	at	O	
90-33	føre	O	
90-34	en	O	
90-35	ansvarlig	O	
90-36	økonomisk	O	
90-37	politik	O	
90-38	,	O	
90-39	der	O	
90-40	er	O	
90-41	med	O	
90-42	til	O	
90-43	at	O	
90-44	sikre	O	
90-45	,	O	
90-46	at	O	
90-47	renten	O	
90-48	fortsat	O	
90-49	er	O	
90-50	lav	O	
90-51	,	O	
90-52	og	O	
90-53	så	O	
90-54	selvfølgelig	O	
90-55	hele	O	
90-56	tiden	O	
90-57	sørge	O	
90-58	for	O	
90-59	at	O	
90-60	justere	O	
90-61	og	O	
90-62	se	O	
90-63	på	O	
90-64	,	O	
90-65	om	O	
90-66	der	O	
90-67	er	O	
90-68	mere	O	
90-69	,	O	
90-70	vi	O	
90-71	kan	O	
90-72	gøre	O	
90-73	for	O	
90-74	f	O	
90-75	.	O	
90-76	eks	O	
90-77	.	O	
90-78	at	O	
90-79	undgå	O	
90-80	,	O	
90-81	at	O	
90-82	konjunkturomslaget	O	
90-83	bliver	O	
90-84	så	O	
90-85	voldsomt	O	
90-86	,	O	
90-87	at	O	
90-88	der	O	
90-89	bliver	O	
90-90	stigende	O	
90-91	arbejdsløshed	O	
90-92	i	O	
90-93	Danmark	O	
90-94	.	O	

#id=91
#text=Andre kan jo gå til valg  på en anden politik, og så må vælgerne forholde sig til det.
91-1	Andre	O	
91-2	kan	O	
91-3	jo	O	
91-4	gå	O	
91-5	til	O	
91-6	valg	O	
91-7	på	O	
91-8	en	O	
91-9	anden	O	
91-10	politik	O	
91-11	,	O	
91-12	og	O	
91-13	så	O	
91-14	må	O	
91-15	vælgerne	O	
91-16	forholde	O	
91-17	sig	O	
91-18	til	O	
91-19	det	O	
91-20	.	O	

#id=92
#text=Det er de strukturelle mekanismer, der skaber sociale problemer, der skaber marginalisering, der skaber udstødelse, som skal udfordres - ikke de familier, der bliver ramt af de strukturelle problemer.
92-1	Det	O	
92-2	er	O	
92-3	de	O	
92-4	strukturelle	O	
92-5	mekanismer	O	
92-6	,	O	
92-7	der	O	
92-8	skaber	O	
92-9	sociale	O	
92-10	problemer	O	
92-11	,	O	
92-12	der	O	
92-13	skaber	O	
92-14	marginalisering	O	
92-15	,	O	
92-16	der	O	
92-17	skaber	O	
92-18	udstødelse	O	
92-19	,	O	
92-20	som	O	
92-21	skal	O	
92-22	udfordres	O	
92-23	-	O	
92-24	ikke	O	
92-25	de	O	
92-26	familier	O	
92-27	,	O	
92-28	der	O	
92-29	bliver	O	
92-30	ramt	O	
92-31	af	O	
92-32	de	O	
92-33	strukturelle	O	
92-34	problemer	O	
92-35	.	O	

#id=93
#text=Helt grotesk bliver det, hvis de to misbrugere bagefter kan sætte sig side om side i injektionslokalet, hvor den ene kan indtage det klinisk gennemkontrollerede stof, mens den anden må indtage noget, som ingen rigtig ved, hvad er.
93-1	Helt	O	
93-2	grotesk	O	
93-3	bliver	O	
93-4	det	O	
93-5	,	O	
93-6	hvis	O	
93-7	de	O	
93-8	to	O	
93-9	misbrugere	O	
93-10	bagefter	O	
93-11	kan	O	
93-12	sætte	O	
93-13	sig	O	
93-14	side	O	
93-15	om	O	
93-16	side	O	
93-17	i	O	
93-18	injektionslokalet	O	
93-19	,	O	
93-20	hvor	O	
93-21	den	O	
93-22	ene	O	
93-23	kan	O	
93-24	indtage	O	
93-25	det	O	
93-26	klinisk	O	
93-27	gennemkontrollerede	O	
93-28	stof	O	
93-29	,	O	
93-30	mens	O	
93-31	den	O	
93-32	anden	O	
93-33	må	O	
93-34	indtage	O	
93-35	noget	O	
93-36	,	O	
93-37	som	O	
93-38	ingen	O	
93-39	rigtig	O	
93-40	ved	O	
93-41	,	O	
93-42	hvad	O	
93-43	er	O	
93-44	.	O	

#id=94
#text=De sager er sat i bero i øjeblikket, indtil Højesteret har talt.
94-1	De	O	
94-2	sager	O	
94-3	er	O	
94-4	sat	O	
94-5	i	O	
94-6	bero	O	
94-7	i	O	
94-8	øjeblikket	O	
94-9	,	O	
94-10	indtil	O	
94-11	Højesteret	O	
94-12	har	O	
94-13	talt	O	
94-14	.	O	

#id=95
#text=Der går så en række år.
95-1	Der	O	
95-2	går	O	
95-3	så	O	
95-4	en	O	
95-5	række	O	
95-6	år	O	
95-7	.	O	

#id=96
#text=Se nu at få løst det her problem _ det beder jeg så indtrængende om.
96-1	Se	O	
96-2	nu	O	
96-3	at	O	
96-4	få	O	
96-5	løst	O	
96-6	det	O	
96-7	her	O	
96-8	problem	O	
96-9	_	O	
96-10	det	O	
96-11	beder	O	
96-12	jeg	O	
96-13	så	O	
96-14	indtrængende	O	
96-15	om	O	
96-16	.	O	

#id=97
#text=Det er god logik, at der skal være en gulerod ved at spare på vandet, og det kommer der jo først rigtigt, hvis der opsættes vandmålere for hver husstand og man betaler for sit  eget vandforbrug.
97-1	Det	O	
97-2	er	O	
97-3	god	O	
97-4	logik	O	
97-5	,	O	
97-6	at	O	
97-7	der	O	
97-8	skal	O	
97-9	være	O	
97-10	en	O	
97-11	gulerod	O	
97-12	ved	O	
97-13	at	O	
97-14	spare	O	
97-15	på	O	
97-16	vandet	O	
97-17	,	O	
97-18	og	O	
97-19	det	O	
97-20	kommer	O	
97-21	der	O	
97-22	jo	O	
97-23	først	O	
97-24	rigtigt	O	
97-25	,	O	
97-26	hvis	O	
97-27	der	O	
97-28	opsættes	O	
97-29	vandmålere	O	
97-30	for	O	
97-31	hver	O	
97-32	husstand	O	
97-33	og	O	
97-34	man	O	
97-35	betaler	O	
97-36	for	O	
97-37	sit	O	
97-38	eget	O	
97-39	vandforbrug	O	
97-40	.	O	

#id=98
#text=Pågrund af den økonomiske krise er der over 10.000 lønmodtagere i Danmark, som er på arbejdsfordeling, hvor de, som det er nævnt, f.eks. arbejder hver anden uge og så er på dagpenge hver anden uge.
98-1	På	O	
98-2	grund	O	
98-3	af	O	
98-4	den	O	
98-5	økonomiske	O	
98-6	krise	O	
98-7	er	O	
98-8	der	O	
98-9	over	O	
98-10	10	O	
98-11	.	O	
98-12	000	O	
98-13	lønmodtagere	O	
98-14	i	O	
98-15	Danmark	O	
98-16	,	O	
98-17	som	O	
98-18	er	O	
98-19	på	O	
98-20	arbejdsfordeling	O	
98-21	,	O	
98-22	hvor	O	
98-23	de	O	
98-24	,	O	
98-25	som	O	
98-26	det	O	
98-27	er	O	
98-28	nævnt	O	
98-29	,	O	
98-30	f	O	
98-31	.	O	
98-32	eks	O	
98-33	.	O	
98-34	arbejder	O	
98-35	hver	O	
98-36	anden	O	
98-37	uge	O	
98-38	og	O	
98-39	så	O	
98-40	er	O	
98-41	på	O	
98-42	dagpenge	O	
98-43	hver	O	
98-44	anden	O	
98-45	uge	O	
98-46	.	O	

#id=99
#text=Det er Rigspolitichefens ansvar at sikre, at alle politikredse får en ordentlig dækning.
99-1	Det	O	
99-2	er	O	
99-3	Rigspolitichefens	O	
99-4	ansvar	O	
99-5	at	O	
99-6	sikre	O	
99-7	,	O	
99-8	at	O	
99-9	alle	O	
99-10	politikredse	O	
99-11	får	O	
99-12	en	O	
99-13	ordentlig	O	
99-14	dækning	O	
99-15	.	O	

#id=100
#text=IDansk Folkeparti har vi altså den grundholdning, at når det kommer til stykket, er velfungerende forældre, hvor vi ikke kan sætte  en finger på det, de foretager sig i deres dagligdag, altså de bedst egnede og de mest kvalificerede til at træffe beslutninger på deres børns vegne.
100-1	I	O	
100-2	Dansk	O	
100-3	Folkeparti	O	
100-4	har	O	
100-5	vi	O	
100-6	altså	O	
100-7	den	O	
100-8	grundholdning	O	
100-9	,	O	
100-10	at	O	
100-11	når	O	
100-12	det	O	
100-13	kommer	O	
100-14	til	O	
100-15	stykket	O	
100-16	,	O	
100-17	er	O	
100-18	velfungerende	O	
100-19	forældre	O	
100-20	,	O	
100-21	hvor	O	
100-22	vi	O	
100-23	ikke	O	
100-24	kan	O	
100-25	sætte	O	
100-26	en	O	
100-27	finger	O	
100-28	på	O	
100-29	det	O	
100-30	,	O	
100-31	de	O	
100-32	foretager	O	
100-33	sig	O	
100-34	i	O	
100-35	deres	O	
100-36	dagligdag	O	
100-37	,	O	
100-38	altså	O	
100-39	de	O	
100-40	bedst	O	
100-41	egnede	O	
100-42	og	O	
100-43	de	O	
100-44	mest	O	
100-45	kvalificerede	O	
100-46	til	O	
100-47	at	O	
100-48	træffe	O	
100-49	beslutninger	O	
100-50	på	O	
100-51	deres	O	
100-52	børns	O	
100-53	vegne	O	
100-54	.	O	

